"","mod19$group","dist"
"1","DNE2019",0.379598547232682
"2","DNE2019",0.209720650091404
"3","DNE2019",0.371261917715108
"4","DNE2019",0.176716792150873
"5","DNE2019",0.167020638715542
"6","DNE2019",0.413459123105118
"7","DNE2019",0.0296619118219224
"8","DNE2019",0.486408124739805
"9","DNW2019",0.597122066084168
"10","DNW2019",0.569239437820439
"11","DNW2019",0.316296028687793
"12","DNW2019",0.547831016960756
"13","DNW2019",0.29887912913578
"14","DNW2019",0.30739885076339
"15","DNW2019",0.354765114732285
"16","DNW2019",0.324704019118037
"17","DSE2019",0.426649563088087
"18","DSE2019",0.171197188999966
"19","DSE2019",0.0920206669943485
"20","DSE2019",0.247462930575767
"21","DSE2019",0.295752520577873
"22","DSE2019",0.139194915556861
"23","DSE2019",0.461691282598883
"24","DSE2019",0.141990184849373
"25","DSW2019",0.152846773883937
"26","DSW2019",0.0804601262199691
"27","DSW2019",0.301768814767648
"28","DSW2019",0.130224794723355
"29","DSW2019",0.649651520868575
"30","DSW2019",0.594961733136204
"31","DSW2019",0.0750205556438573
"32","DSW2019",0.0522664790862939
"33","ENE2019",0.296362809295883
"34","ENE2019",0.394404582923916
"35","ENE2019",0.340015979421112
"36","ENE2019",0.20644470799362
"37","ENE2019",0.183183711343412
"38","ENE2019",0.185402952404111
"39","ENE2019",0.0883845536016852
"40","ENE2019",0.206795750436148
"41","ENW2019",0.0836339880613628
"42","ENW2019",0.0837107738675933
"43","ENW2019",0.427060650003821
"44","ENW2019",0.82128353436813
"45","ENW2019",0.0759619837593219
"46","ENW2019",0.146227604894136
"47","ENW2019",0.399181142282185
"48","ENW2019",0.302012644497332
"49","ESE2019",0.0646211836221261
"50","ESE2019",0.272726978954846
"51","ESE2019",0.381538346954513
"52","ESE2019",0.200362183243276
"53","ESE2019",0.557822184981251
"54","ESE2019",0
"55","ESE2019",0.0836843647739739
"56","ESE2019",0.145020812487103
"57","ESW2019",0.172153472281725
"58","ESW2019",0.22625622122202
"59","ESW2019",0.382471323446367
"60","ESW2019",0.424024982910402
"61","ESW2019",0.127194093878396
"62","ESW2019",0.132377416655741
"63","ESW2019",0.207641968725565
"64","ESW2019",0.343097444654515
"65","RME2019",0.104781599939064
"66","RME2019",0.0611669708198326
"67","RME2019",0.229727855773238
"68","RME2019",0.0866434328779784
"69","RME2019",0.15406835429898
"70","RME2019",0.126629259187231
"71","RME2019",0.116658583718186
"72","RME2019",0.0105866177381467
"73","RNE2019",0.255588045296935
"74","RNE2019",0.15813888846738
"75","RNE2019",0.185498512323545
"76","RNE2019",0.260868969433198
"77","RNE2019",0.129851238014105
"78","RNE2019",0.310988033892669
"79","RNE2019",0.214050567993038
"80","RNE2019",0.413820825863646
"81","RNW2019",0.295429444915359
"82","RNW2019",0.381287655614882
"83","RNW2019",0.374831437775138
"84","RNW2019",0.16733283223609
"85","RNW2019",0.337708529414212
"86","RNW2019",0.393136028764936
"87","RNW2019",0.183448169335701
"88","RNW2019",0.218055292184143
"89","RSE2019",0.321678835993369
"90","RSE2019",0.0497743079805905
"91","RSE2019",0.0433003752531528
"92","RSE2019",0.125236327489136
"93","RSE2019",0.12345341718927
"94","RSE2019",0.162524750896669
"95","RSE2019",0.0801596938491309
"96","RSE2019",0.106430711090887
"97","WAG3",0.256368983479514
"98","WAG3",0.117014346546011
"99","WAG3",0.0320982650766303
"100","WAG3",0.0698053129579555
"101","WAG3",0.184678109495513
"102","WAG3",0.101992938949679
"103","WAG4",0.143845107894598
"104","WAG4",0.143989761597329
"105","WAG4",0.147000977982124
"106","WAG4",0.165875476089493
"107","WAG4",0.272171138256511
"108","WAG4",0.0480475493564535
"109","WAG4",0.127987525040983
"110","WAG4",0.0672627759416036
"111","WAG1",0.15212505791048
"112","WAG1",0.150426452869098
"113","WAG1",0.0246440256370748
"114","WAG1",0.0734388509632203
"115","WAG1",0.245509514780071
"116","WAG1",0.16016876791976
"117","WAG1",0.182166864373715
"118","WAG1",0
"119","WAG2",0.101777511702794
"120","WAG2",0.165152240781567
"121","WAG2",0.114317493518897
"122","WAG2",0.0927129584497742
"123","WAG2",0.296563454754157
"124","WAG2",0.167290929753162
"125","WAG2",0.0364261798938761
"126","WAG2",0.201123908255342
"127","WAG3",0.0174247552086934
"128","WAG3",0
